district_name,parent_state_code
Kolkata,36
Malda,36
Murshidabad,36
Nadia,36
North 24 Parganas,36
Paschim Medinipur (West Medinipur),36
Paschima Bardhaman,36
Purba Bardhaman,36
Purba Medinipur (East Medinipur),36
Purulia,36
South 24 Parganas,36
Uttar Dinajpur (North Dinajpur),36
